Designator,Mid X,Mid Y,Rotation,Layer
C1,108.6,-25.6,90.0,top
C10,122.9,-97.15,90.0,top
C100,128.0,-34.4,90.0,top
C11,124.65,-97.15,90.0,top
C12,115.8,-142.4325,90.0,top
C13,136.88,-93.47,90.0,top
C14,135.38,-93.47,90.0,top
C15,138.38,-93.47,90.0,top
C16,119.3,-127.2125,270.0,top
C17,117.0,-127.2,270.0,top
C18,115.0,-127.0,270.0,top
C19,118.125,-87.125,270.0,top
C20,119.825,-87.125,270.0,top
C21,133.35,-83.85,0.0,top
C22,115.0,-75.8,180.0,top
C23,127.95,-81.85,180.0,top
C24,127.95,-80.25,180.0,top
C25,113.95,-69.15,90.0,top
C26,113.95,-72.48,270.0,top
C27,131.95,-81.05,270.0,top
C28,134.55,-77.325,0.0,top
C29,130.35,-81.05,270.0,top
C3,112.4,-143.625,90.0,top
C30,134.55,-78.925,0.0,top
C31,120.0,-79.125,180.0,top
C32,120.0,-77.525,180.0,top
C33,122.05,-65.125,90.0,top
C34,120.45,-65.125,90.0,top
C35,118.625,-69.225,180.0,top
C36,118.625,-67.625,180.0,top
C37,133.1,-66.0,0.0,top
C38,133.1,-64.4,0.0,top
C39,156.0,-155.25,90.0,top
C4,110.3,-143.625,90.0,top
C40,174.0,-155.25,90.0,top
C41,138.0,-155.25,90.0,top
C45,154.2,-46.2,180.0,top
C49,111.5,-23.775,270.0,top
C5,114.2,-143.8,90.0,top
C50,113.1,-23.775,270.0,top
C6,126.8,-144.6,90.0,top
C60,172.0,-96.5,90.0,top
C64,174.445,-134.435855,180.0,top
C68,174.645,-48.035855,180.0,top
C7,132.0,-144.6,90.0,top
C72,142.525,-43.75,180.0,top
C73,142.525,-45.35,180.0,top
C74,141.125,-30.55,180.0,top
C75,144.225,-30.55,0.0,top
C76,144.6,-26.875,270.0,top
C77,140.8,-26.875,270.0,top
C81,157.9,-86.1,0.0,top
C82,157.9,-87.575,0.0,top
C83,113.7,-115.1,270.0,top
C84,115.6,-115.275,270.0,top
C85,117.2,-115.275,270.0,top
C86,125.0,-113.1,90.0,top
C87,113.65,-107.5,90.0,top
C88,115.6,-107.325,90.0,top
C89,117.25,-107.325,90.0,top
C9,121.149999,-97.15,90.0,top
C90,160.15,-21.810855,0.0,top
C91,159.95,-109.12171,0.0,top
C92,160.15,-63.810855,0.0,top
C93,159.825,-29.010855,180.0,top
C94,159.825,-30.585855,180.0,top
C95,159.625,-116.32171,180.0,top
C96,159.625,-117.89671,180.0,top
C97,159.825,-71.010855,180.0,top
C98,159.825,-72.585855,180.0,top
